1	5천원	5000
2	만원	10000
3	4만원	40000
4	10만원	100000
5	15만원	150000
6	34만원	340000
7	45만원	450000
8	68만원	680000
9	90만원	900000
10	140만원	1400000
11	220만원	2200000
12	340만원	3400000
13	399만원	3990000
14	444만원	4440000
15	567만원	5670000
16	626만원	6260000
17	680만원	6800000
18	740만원	7400000
19	840만원	8400000
20	850만원	8500000
21	890만원	8900000
22	940만원	9400000
23	1040만원	10400000
24	1240만원	12400000
25	1360만원	13600000
26	1460만원	14600000
27	1640만원	16400000
28	1860만원	18600000
29	2000만원	20000000
30	max Lavel	maxLavel
31		
32		
33		
34		
35		
36		
37		
38		
39		
40		
41		
42		
43		
44		
45		
46		
47		
48		
49		
50		
